function,module,cyclomatic,cognitive,halstead_difficulty,halstead_effort,halstead_length,has_proof,trivial_proof,requires_halstead_length,requires_halstead_difficulty,requires_halstead_effort,ensures_halstead_length,ensures_halstead_difficulty,ensures_halstead_effort,decreases_count,direct_proof_length,direct_proof_difficulty,direct_proof_effort,transitive_proof_length,transitive_proof_difficulty,transitive_proof_effort,proof_depth,direct_lemmas_count,transitive_lemmas_count
fmt,curve25519_dalek::build,,,,,,,,,,,,,,,,,,,,,,,
is_capable_simd,curve25519_dalek::build,,,,,,,,,,,,,,,,,,,,,,,
determine_curve25519_dalek_bits_warning,curve25519_dalek::build,,,,,,,,,,,,,,,,,,,,,,,
determine_curve25519_dalek_bits,curve25519_dalek::build,,,,,,,,,,,,,,,,,,,,,,,
get_selected_backend,curve25519_dalek::backend,3,2,11.05,4292.022736456141,77,,,,,,,,,,,,,,,,,,
pippenger_optional_multiscalar_mul,curve25519_dalek::backend,4,1,10.615384615384617,5515.168129897405,99,,,,,,,,,,,,,,,,,,
VartimePrecomputedStraus::straus_multiscalar_mul,curve25519_dalek::backend,,,,,,,,,,,,,,,,,,,,,,,
VartimePrecomputedStraus::straus_optional_multiscalar_mul,curve25519_dalek::backend,,,,,,,,,,,,,,,22,1.30,102.53,22,1.30,102.53,,,
VartimePrecomputedStraus::variable_base_mul,curve25519_dalek::backend,,,,,,,,,,,,,,,22,1.30,102.53,22,1.30,102.53,,,
VartimePrecomputedStraus::vartime_double_base_mul,curve25519_dalek::backend,,,,,,,,,,,,,,,22,1.30,102.53,22,1.30,102.53,,,
ProjectivePoint::identity,curve25519_dalek::backend::serial::curve_models,1,0,4.375,208.02632821965176,15,yes,yes,,,,,,,,,,,,,,,,
ProjectiveNielsPoint::default,curve25519_dalek::backend::serial::curve_models,1,0,2,44.91767875292167,8,yes,yes,,,,,,,,,,,,,,,,
ProjectiveNielsPoint::conditional_select,curve25519_dalek::backend::serial::curve_models,1,0,16.8,3914.779050787503,65,,,,,,,,,,,,,,,,,,
ProjectivePoint::as_extended,curve25519_dalek::backend::serial::curve_models,1,0,18,2212.404111194983,37,,,,,,,,,,,,,,,,,,
CompletedPoint::as_projective,curve25519_dalek::backend::serial::curve_models,1,0,16,1700.8271845823294,32,,,,,,,,,,,,,,,,,,
ProjectivePoint::double,curve25519_dalek::backend::serial::curve_models,1,0,16.666666666666668,6149.244391890265,84,,,,,,,,,,,,,,,,,,
ProjectivePoint::add,curve25519_dalek::backend::serial::curve_models,,,,,,,,,,,,,,,,,,,,,,,
ProjectivePoint::sub,curve25519_dalek::backend::serial::curve_models,,,,,,,,,,,29,7.33,809.70,,117,13.07,6609.77,117,13.07,6609.77,1,1,1
ProjectivePoint::neg,curve25519_dalek::backend::serial::curve_models,,,,,,,,,,,14,3.60,174.36,,42,7.70,1321.89,42,7.70,1321.89,,,
Pippenger::optional_multiscalar_mul,curve25519_dalek::backend::serial::scalar_mul::pippenger,18,12,35.875,82260.99463293742,367,,,,,,,,,,,,,,,,,,
Straus::multiscalar_mul,curve25519_dalek::backend::serial::scalar_mul::straus,5,3,13.736842105263158,13402.152559072729,168,,,,,,,,,,,,,,,,,,
Straus::optional_multiscalar_mul,curve25519_dalek::backend::serial::scalar_mul::straus,10,6,20.63235294117647,23828.55659698353,198,,,,,,,,,,,,,,,,,,
mul,curve25519_dalek::backend::serial::scalar_mul::variable_base,2,1,26.714285714285715,17602.25949080457,133,,,,,,,,,,,,,,,,,,
mul,curve25519_dalek::backend::serial::scalar_mul::vartime_double_base,12,7,42.1875,66510.63297684732,268,,,,,,,,,,,,,,,,,,
FieldElement51::fmt,curve25519_dalek::backend::serial::u64::field,1,0,10.5625,1438.2094361211202,31,,,,,,,,,,,,,,,,,,
FieldElement51::add_assign,curve25519_dalek::backend::serial::u64::field,2,1,11.142857142857142,1372.687433629913,29,yes,no,,,,26,3.67,225.09,,,,,,,,,,
